ResponseId_B,ResponseId_A,Discipline,Q1_B_UIUC_data_used,Q2_B_how_provided,Q2_B_specify_online_database,Q2_B_other_specify,Q3_B_why_opt_not_use,Q3_B_other_specify,Q4_B_why_cited,Q4_B_other_specify
R_szhEYZaN9Y8KdZn,R_vV7PKGxpF2HVQ8V,PHYS,No,,,,"Other, please specify:",The two papers were on a different subject. ,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_3CO5uQA7kXu3HcC,R_1pScf60f2hcS5K2,PHYS,No,,,,"Data did not address our specific research question,Other, please specify:","Theoretical paper, did not use data at all",The paper cited provided general background for our work,
R_1IblHziPz7LEeum,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",There was no need to use data from this paper. ,"Other, please specify:",Our two papers presented similar results back to back in the same journal. 
R_1hYHEbku3jcrtIl,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",There was no need.,Our work addresses a similar process but in a different context,
R_1QE2ZLlmNiOFQqh,R_1QnkHTDqATDTUnu,BIOC,No,,,,"Other, please specify:",there was no reason to reuse their data,"Other, please specify:",the paper provided numbers on a different [redacted] data domain [redacted]
R_b1ToGvAVq3b8AQF,R_3QJl4GqYa3hqSmP,CHEM,No,,,,"There was no data in the paper,Other, please specify:",This was a subject area critical review,"The paper cited provided general background for our work,Other, please specify:",Our paper was a critical review of the field
R_3HvQGJavfv3ZxQw,R_1M0oybwscLN9XCy,CHEM,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data,Other, please specify:",This was cited as part of intro into the subject area,The paper cited provided general background for our work,
R_YQZuwwTSRokLdtv,R_PHeUwNJtm5jvbrj,CHEM,No,,,,"Other, please specify:",we accepted their conclusion without using their actual data,The paper cited provided general background for our work,
R_1rrfDdRenaCVdWF,R_2OPTUwW0URU17Qm,MEDI,No,,,,"Data did not address our specific research question,Other, please specify:",We already had collected data from a prior project,"The paper cited provided general background for our work,Our work is an extension of the cited paper,Other, please specify:",The author is a frequent collaborator with our team
R_1jpI6OptuofYRAL,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",We are reporting our own results.,The paper cited provided general background for our work,
